,Uid,Swim_beach
285,-155.95532_19.59535,True
286,-155.95527_19.59472,True
287,-155.95542_19.59451,True
288,-155.95525_19.59434,True
289,-155.95568_19.59369,True
290,-155.95557_19.59393,True
291,-155.95573_19.59411,True
292,-155.95591_19.59325,True
293,-155.95569_19.59332,True
294,-155.95548_19.59346,True
295,-155.95519_19.59345,True
296,-155.95538_19.59291,True
297,-155.95549_19.59223,True
298,-155.95578_19.59277,True
299,-155.95585_19.59221,True
300,-155.95586_19.59084,True
301,-155.95566_19.59092,True
302,-155.95546_19.59098,True
303,-155.95526_19.59106,True
304,-155.95524_19.59156,True
305,-155.95530_19.59175,True
306,-155.95543_19.59199,True
307,-155.95576_19.59198,True
308,-155.95592_19.59178,True
309,-155.95587_19.59155,True
310,-155.95577_19.59137,True
311,-155.94972_19.60574,True
312,-155.94995_19.60618,True
313,-155.94966_19.60621,True
314,-155.94932_19.60604,True
315,-155.94978_19.58422,True
316,-155.95537_19.59062,True
317,-155.95302_19.58863,True
318,-155.94697_19.58799,True
319,-155.94695_19.58587,True
320,-155.95330_19.59024,True
321,-155.95358_19.59094,True
322,-155.95110_19.59155,True
323,-155.95109_19.59076,True
324,-155.94841_19.59091,True
325,-155.94715_19.59059,True
326,-155.95086_19.59001,True
327,-155.95329_19.58760,True
328,-155.95295_19.58699,True
329,-155.95281_19.58649,True
330,-155.95218_19.58579,True
331,-155.95191_19.58519,True
332,-155.95148_19.58461,True
333,-155.95122_19.58397,True
334,-155.95357_19.58626,True
335,-155.95333_19.58601,True
336,-155.95318_19.58572,True
337,-155.95312_19.58535,True
338,-155.95300_19.58500,True
339,-155.95285_19.58467,True
340,-155.95249_19.58400,True
341,-155.95256_19.58618,True
342,-155.95225_19.58652,True
343,-155.94848_19.58474,True
344,-155.94934_19.58614,True
345,-155.95004_19.58718,True
346,-155.95015_19.58833,True
347,-155.95592_19.58984,True
348,-155.95567_19.58937,True
349,-155.94784_19.58995,True
350,-155.93455_19.61941,True
351,-155.94253_19.61831,True
352,-155.94326_19.61679,True
353,-155.94321_19.61490,True
354,-155.94988_19.60761,True
355,-155.94971_19.60700,True
356,-155.94589_19.59909,True
357,-155.94905_19.60546,True
358,-155.94956_19.60621,True
359,-155.95527_19.59062,True
360,-155.95292_19.58863,True
361,-155.95239_19.58400,True
362,-155.95373_19.59210,True
363,-155.94819_19.61847,True
364,-155.94865_19.61959,True
365,-155.94875_19.61159,True
366,-155.94860_19.61203,True
367,-155.94862_19.61366,True
368,-155.94867_19.61416,True
369,-155.94846_19.61454,True
370,-155.94875_19.61476,True
371,-155.94895_19.61309,True
372,-155.94888_19.61445,True
373,-155.94839_19.61527,True
374,-155.94865_19.61310,True
375,-155.94833_19.61310,True
376,-155.94887_19.61256,True
377,-155.94893_19.61227,True
378,-155.94870_19.61596,True
379,-155.94841_19.61256,True
380,-155.95349_19.61058,True
381,-155.95433_19.61026,True
382,-155.95157_19.61216,True
383,-155.95130_19.61147,True
384,-155.95005_19.61456,True
385,-155.95009_19.61479,True
386,-155.94958_19.61379,True
387,-155.95132_19.61270,True
388,-155.94971_19.61191,True
389,-155.95235_19.61267,True
390,-155.95130_19.61391,True
391,-155.95017_19.61707,True
392,-155.95022_19.61597,True
393,-155.95161_19.61571,True
394,-155.95175_19.61720,True
395,-155.94930_19.61855,True
396,-155.94916_19.61961,True
397,-155.95056_19.61827,True
398,-155.95490_19.60522,True
399,-155.95488_19.60489,True
400,-155.95488_19.60378,True
401,-155.95225_19.60620,True
402,-155.95486_19.60453,True
403,-155.95485_19.60418,True
404,-155.95481_19.60728,True
405,-155.95475_19.60692,True
406,-155.95369_19.60577,True
407,-155.95452_19.60556,True
408,-155.95444_19.60599,True
409,-155.95463_19.60652,True
410,-155.95416_19.60646,True
