,Uid,dist2_Wetlands_m
69,-159.36176_21.96581,189.54737267062848
70,-159.37219_22.05729,399.76669772201706
71,-159.36946_22.05793,274.24232073146345
72,-159.38467_22.05333,916.5058343056767
73,-159.38407_22.05409,995.923378170326
74,-159.38316_22.05448,932.8594622833087
75,-159.49511_22.21023,33.37941167540147
76,-159.49588_22.20505,263.35441421664274
77,-159.58774_21.92027,487.39002098807526
78,-159.58748_21.92049,498.6288973612813
79,-159.58844_21.92623,1133.4179056976047
80,-159.58862_21.92508,1016.499976650464
81,-159.39097_22.21195,141.58103886545604
82,-159.50072_22.20278,297.52887495026323
83,-159.36808_22.08363,201.2634681550576
84,-159.36346_22.07411,781.2604072553212
85,-159.34431_22.06002,55.18937599616528
86,-159.37350_22.05443,735.3235407534655
87,-159.37729_22.05450,748.917282842747
88,-159.38927_22.06084,699.332735569572
89,-159.65988_21.96372,26.462501203034073
90,-159.66848_21.95420,746.9618171690519
91,-159.58776_21.91989,450.515566673788
92,-159.58579_21.91928,324.896640755724
93,-159.58606_21.92096,513.2878537238006
94,-159.58791_21.92200,669.8354802755513
95,-159.58669_21.92353,791.5552277123913
96,-159.58617_21.92327,733.4863565581164
97,-159.58758_21.92496,969.4630451366338
98,-159.58958_21.92102,642.7740794540284
99,-159.59720_21.90418,1626.046205310694
100,-159.48529_21.92467,244.7373161422244
101,-159.46462_21.92893,946.7983379337254
102,-159.52488_21.90488,984.2127742053576
103,-159.36804_22.05262,875.570207306029
104,-159.36719_22.05222,936.1122781732189
105,-159.37190_22.05489,654.6340837787786
106,-159.50775_21.93643,1576.6778164624734
107,-159.50844_21.93401,1359.5226424327675
108,-159.50880_21.92786,840.8795875244914
109,-159.50859_21.92861,880.1050141695179
110,-159.45177_21.87975,449.41969691814774
111,-159.45177_21.87992,467.24393623637377
112,-159.45177_21.88185,675.0128214335106
113,-159.38512_22.05583,940.7477687173299
114,-159.51845_21.92063,1152.7625949554847
115,-159.51925_21.92001,1140.0358937904728
116,-159.52047_21.91920,1125.682224988956
117,-159.52030_21.91874,1176.6407221520305
118,-159.51776_21.91929,1305.193475331939
119,-159.51954_21.91858,1238.997966871002
120,-159.51164_21.93200,1368.8266231251664
121,-159.51151_21.92590,981.0490544023578
122,-159.51273_21.93431,1456.463819704533
123,-159.51511_21.90538,740.0707765915623
124,-159.51499_21.91045,1199.4336222492395
125,-159.50299_21.89127,1150.6768605731552
126,-159.49600_21.91675,220.4650168270021
127,-159.36710_21.94991,279.3546625774143
128,-159.36468_21.94992,249.71464980680022
129,-159.36119_22.06893,718.1583132437994
130,-159.35793_22.07420,673.7898565303756
131,-159.37643_22.06850,741.5155648842665
132,-159.50424_22.20029,178.84378419366428
133,-159.52480_21.92646,243.1696099905771
134,-159.36098_22.09525,429.3085725054237
135,-159.40721_22.20951,1136.5802321769902
136,-159.40493_22.20951,918.7860571734246
137,-159.59202_21.90737,999.6674616790524
138,-159.57640_21.91292,450.4431011772992
139,-159.57636_21.91240,485.2803818816512
140,-159.48383_21.92892,610.6880589605786
141,-159.48387_21.93322,464.68042106449224
142,-159.48746_21.92794,599.4338024314409
143,-159.46495_21.90098,1098.4670631551537
144,-159.46569_21.89698,755.1329563058525
145,-159.36893_22.05846,222.7083973807374
146,-159.37505_22.06224,198.89333948598244
147,-159.37857_22.10330,419.67121775992723
148,-159.37211_22.10006,2.5994747231542203
149,-159.35870_22.09503,492.7513427177365
150,-159.53453_21.92483,259.26844588991617
