,Uid,In_WellCZ_B
486,-156.51706_20.87304,True
487,-156.51759_20.87306,True
488,-156.51767_20.87331,True
489,-156.51770_20.87356,True
490,-156.51765_20.87395,True
491,-156.52147_20.88271,True
492,-156.52098_20.88305,True
493,-156.52106_20.88245,True
494,-156.51556_20.88304,True
495,-156.52149_20.88290,True
496,-156.52146_20.88312,True
497,-156.52048_20.88313,True
498,-156.51929_20.88314,True
499,-156.52731_20.88333,True
500,-156.52398_20.88212,True
501,-156.52447_20.88222,True
502,-156.52823_20.88280,True
503,-156.52610_20.88265,True
504,-156.51878_20.87599,True
505,-156.51887_20.87626,True
506,-156.51654_20.87658,True
507,-156.51627_20.87575,True
508,-156.51625_20.87547,True
509,-156.51573_20.87531,True
510,-156.51606_20.87522,True
511,-156.51663_20.87494,True
512,-156.51801_20.87666,True
513,-156.51759_20.87626,True
514,-156.51754_20.87566,True
515,-156.51745_20.87540,True
516,-156.51733_20.87515,True
517,-156.51719_20.87490,True
518,-156.51776_20.87461,True
519,-156.51784_20.87482,True
520,-156.51799_20.87516,True
521,-156.51811_20.87581,True
522,-156.51810_20.87610,True
523,-156.51829_20.87654,True
524,-156.51596_20.87551,True
525,-156.51828_20.87459,True
526,-156.51823_20.87416,True
527,-156.51769_20.87439,True
528,-156.51580_20.87281,True
529,-156.51561_20.87505,True
530,-156.31935_20.88132,True
531,-156.63816_20.85812,True
532,-156.51322_20.86774,True
533,-156.51013_20.86909,True
534,-156.52289_20.88296,True
535,-156.50834_20.90018,True
536,-156.50920_20.89995,True
537,-156.51016_20.89975,True
538,-156.51121_20.89927,True
539,-156.49049_20.87561,True
540,-156.49052_20.87543,True
541,-156.49295_20.87552,True
542,-156.63699_20.85286,True
543,-156.51543_20.86668,True
544,-156.51810_20.86943,True
545,-156.51616_20.87052,True
546,-156.51579_20.86976,True
547,-156.51580_20.87003,True
548,-156.51571_20.87065,True
549,-156.51562_20.87096,True
550,-156.51432_20.87027,True
551,-156.51563_20.87358,True
552,-156.51548_20.87445,True
553,-156.51637_20.87635,True
554,-156.48775_20.87392,True
555,-156.48866_20.87424,True
556,-156.28182_20.91678,True
557,-156.53389_20.88363,True
558,-156.65521_20.89202,True
559,-156.51952_20.86352,True
560,-156.51727_20.86330,True
561,-156.28254_20.91367,True
562,-156.51309_20.86185,True
563,-156.51419_20.86224,True
564,-156.63748_20.85792,True
565,-156.63691_20.85570,True
566,-156.63703_20.85639,True
567,-156.63204_20.85140,True
568,-156.51660_20.87689,True
569,-156.50714_20.90175,True
570,-156.50861_20.90105,True
571,-156.50778_20.90162,True
572,-156.51007_20.90114,True
573,-156.51240_20.90106,True
574,-156.51309_20.90124,True
575,-156.51434_20.90079,True
576,-156.51681_20.89034,True
577,-156.51687_20.88967,True
578,-156.51719_20.88891,True
579,-156.51768_20.88828,True
580,-156.51849_20.88770,True
581,-156.51877_20.88642,True
582,-156.51830_20.88499,True
583,-156.51772_20.88538,True
584,-156.51717_20.88584,True
585,-156.51665_20.88627,True
586,-156.51538_20.88684,True
587,-156.51620_20.88847,True
588,-156.51508_20.88850,True
589,-156.51670_20.88757,True
590,-156.51443_20.88941,True
591,-156.51021_20.89088,True
592,-156.51067_20.89052,True
593,-156.51189_20.88929,True
594,-156.51307_20.88853,True
595,-156.51399_20.88812,True
596,-156.51288_20.89010,True
597,-156.51193_20.89089,True
598,-156.51281_20.89084,True
599,-156.51278_20.89147,True
600,-156.51247_20.89252,True
601,-156.51186_20.89239,True
602,-156.51232_20.88887,True
603,-156.33354_20.88039,True
604,-156.33660_20.88156,True
605,-156.33497_20.88151,True
606,-156.33563_20.88237,True
607,-156.33779_20.88272,True
608,-156.33806_20.88368,True
609,-156.49014_20.87344,True
610,-156.51675_20.87341,True
611,-156.51582_20.87418,True
612,-156.51858_20.86533,True
613,-156.51147_20.85642,True
614,-156.27978_20.90688,True
615,-156.51013_20.86186,True
616,-157.91534_21.39931,True
617,-157.90710_21.39637,True
618,-157.90738_21.39610,True
619,-158.17101_21.57649,True
620,-158.12537_21.56343,True
621,-158.12596_21.56334,True
622,-158.12619_21.56325,True
623,-158.12659_21.56335,True
624,-158.12440_21.56306,True
625,-158.12459_21.56297,True
626,-158.12535_21.56289,True
627,-158.12556_21.56289,True
628,-158.12578_21.56289,True
629,-158.12599_21.56289,True
630,-158.12477_21.56288,True
631,-158.12624_21.56280,True
632,-158.12495_21.56279,True
633,-158.12668_21.56280,True
634,-158.12512_21.56271,True
635,-158.12530_21.56262,True
636,-158.12433_21.56261,True
637,-158.12571_21.56262,True
638,-158.12670_21.56262,True
639,-158.12591_21.56262,True
640,-158.12612_21.56253,True
641,-158.12448_21.56252,True
642,-158.12632_21.56253,True
643,-158.12473_21.56243,True
644,-158.12433_21.56243,True
645,-158.12490_21.56234,True
646,-158.12507_21.56225,True
647,-158.12560_21.56217,True
648,-158.12467_21.56225,True
649,-158.12451_21.56198,True
650,-158.12529_21.56198,True
651,-158.12482_21.56189,True
652,-158.12519_21.56180,True
653,-158.12471_21.56171,True
654,-158.12602_21.56361,True
655,-158.12389_21.56315,True
656,-158.12416_21.56270,True
657,-158.12424_21.56216,True
658,-158.12553_21.56189,True
659,-158.12542_21.56171,True
660,-158.03360_21.49905,True
661,-158.03044_21.49668,True
662,-158.02714_21.49576,True
663,-158.03049_21.49443,True
664,-157.91594_21.61279,True
665,-157.91560_21.61251,True
666,-157.91530_21.61242,True
667,-157.91519_21.61233,True
668,-157.91436_21.61278,True
669,-157.91455_21.61260,True
670,-157.91491_21.61242,True
671,-157.91422_21.61223,True
672,-157.91497_21.61287,True
673,-157.91625_21.61207,True
674,-157.91604_21.61198,True
675,-157.91590_21.61179,True
676,-157.89293_21.58400,True
677,-157.89288_21.58219,True
678,-157.88754_21.58505,True
679,-157.88743_21.58459,True
680,-157.88735_21.58360,True
681,-157.89738_21.58846,True
682,-157.88959_21.58533,True
683,-157.88758_21.58523,True
684,-157.88772_21.58387,True
685,-157.89415_21.57615,True
686,-157.90713_21.39601,True
687,-158.12455_21.56333,True
688,-158.12539_21.56225,True
689,-158.12582_21.56217,True
690,-158.12393_21.56342,True
691,-158.12509_21.56162,True
692,-158.11332_21.55270,True
693,-157.89341_21.58220,True
694,-157.79899_21.33131,True
695,-157.80233_21.32962,True
696,-157.86481_21.32698,True
697,-157.86669_21.32636,True
698,-157.86343_21.32552,True
699,-157.86184_21.32262,True
700,-157.86272_21.32245,True
701,-157.86235_21.32244,True
702,-157.86269_21.32236,True
703,-157.85718_21.33099,True
704,-157.85772_21.32810,True
705,-157.85970_21.33047,True
706,-157.86344_21.33031,True
707,-157.86089_21.33020,True
708,-157.86110_21.33011,True
709,-157.86029_21.32957,True
710,-157.85870_21.32721,True
711,-157.85927_21.32712,True
712,-157.86004_21.32532,True
713,-157.85752_21.32503,True
714,-157.84875_21.34141,True
715,-157.85861_21.35512,True
716,-157.86108_21.34764,True
717,-157.85943_21.35124,True
718,-157.85921_21.35115,True
719,-157.87823_21.34306,True
720,-157.87383_21.34194,True
721,-157.86647_21.34451,True
722,-157.87695_21.34133,True
723,-157.86682_21.32500,True
724,-157.86626_21.32292,True
725,-157.92764_21.37879,True
726,-157.90736_21.39574,True
727,-157.90707_21.39528,True
728,-157.94570_21.39616,True
729,-157.94783_21.39428,True
730,-157.90884_21.39231,True
731,-157.90886_21.39213,True
732,-157.90888_21.39195,True
733,-157.90811_21.39204,True
734,-157.90813_21.39177,True
735,-157.90608_21.39654,True
736,-157.90589_21.39654,True
737,-157.90665_21.39646,True
738,-157.90571_21.39636,True
739,-157.90663_21.39609,True
740,-157.90544_21.39600,True
741,-157.90586_21.39609,True
742,-157.90626_21.39591,True
743,-157.90676_21.39573,True
744,-157.90601_21.39573,True
745,-157.90558_21.39573,True
746,-157.90531_21.39563,True
747,-157.90646_21.39564,True
748,-157.90617_21.39555,True
749,-157.90692_21.39546,True
750,-157.90570_21.39546,True
751,-157.90658_21.39537,True
752,-157.90529_21.39527,True
753,-157.90585_21.39519,True
754,-157.90659_21.39510,True
755,-157.90553_21.39500,True
756,-157.90795_21.39502,True
757,-157.90594_21.39501,True
758,-157.90526_21.39500,True
759,-157.90674_21.39483,True
760,-157.90604_21.39483,True
761,-157.90563_21.39482,True
762,-157.90535_21.39464,True
763,-157.90689_21.39456,True
764,-157.90745_21.39456,True
765,-157.90539_21.39446,True
766,-157.90719_21.39438,True
767,-157.90612_21.39428,True
768,-157.90690_21.39429,True
769,-157.90548_21.39428,True
770,-157.90587_21.39419,True
771,-157.90645_21.39411,True
772,-157.90738_21.39411,True
773,-157.90561_21.39401,True
774,-157.90773_21.39393,True
775,-157.90608_21.39392,True
776,-157.90668_21.39393,True
777,-157.90570_21.39374,True
778,-157.90643_21.39374,True
779,-157.90619_21.39365,True
780,-157.90584_21.39356,True
781,-157.90640_21.39347,True
782,-157.90786_21.39348,True
783,-157.90561_21.39347,True
784,-157.90678_21.39329,True
785,-157.90605_21.39329,True
786,-157.90656_21.39311,True
787,-157.90732_21.39276,True
788,-157.90711_21.39321,True
789,-157.90577_21.39311,True
790,-157.90634_21.39311,True
791,-157.90801_21.39312,True
792,-157.90702_21.39293,True
793,-157.90671_21.39284,True
794,-157.90790_21.39276,True
795,-157.90824_21.39267,True
796,-157.90645_21.39248,True
797,-157.90808_21.39249,True
798,-157.90790_21.39231,True
799,-157.90729_21.39176,True
800,-157.90779_21.39167,True
801,-157.90754_21.39167,True
802,-157.90664_21.39230,True
803,-157.90686_21.39212,True
804,-157.90837_21.39141,True
805,-157.90815_21.39123,True
806,-157.90839_21.39114,True
807,-157.90868_21.39087,True
808,-157.90803_21.39484,True
809,-157.90809_21.39466,True
810,-157.90813_21.39439,True
811,-157.90824_21.39403,True
812,-157.90834_21.39385,True
813,-157.90846_21.39367,True
814,-157.90860_21.39340,True
815,-157.90870_21.39322,True
816,-157.90885_21.39268,True
