,Uid,Elevation_m
195,-159.50636_21.92970,169.0
196,-159.49910_21.92012,161.0
197,-159.47076_21.87967,6.41346120834
198,-159.49802_21.91770,165.0
199,-159.50074_21.91520,174.0
200,-159.46883_21.90542,65.0
201,-159.47923_21.90767,118.0
202,-159.48030_21.91804,105.0
203,-159.48569_21.92118,129.0
204,-159.48485_21.92063,127.0
205,-159.39778_21.96219,92.0
206,-159.33523_22.05256,1.78111112118
207,-159.33678_22.05396,9.260000228880001
208,-159.33479_22.05301,1.75699996948
209,-159.33038_22.09477,67.0
210,-159.33033_22.09495,68.0
211,-159.32516_22.09537,61.0
212,-159.48302_21.93034,152.0
213,-159.46351_21.90626,64.0
214,-159.46051_21.90991,66.0
215,-159.46010_21.90947,66.0
216,-159.46311_21.89798,51.0
217,-159.46700_21.90195,60.0
218,-159.45078_21.88083,18.0
219,-159.46052_21.90751,65.0
220,-159.45967_21.90550,66.0
221,-159.45789_21.90466,66.0
222,-159.45797_21.90250,60.0
223,-159.37173_21.96630,66.0
224,-159.37083_21.96743,62.0
225,-159.36997_21.96570,62.0
226,-159.33765_22.04776,1.57000005245
227,-159.33595_22.05378,9.2750005722
228,-159.33662_22.05546,10.1727771759
229,-159.33779_22.05717,17.0
230,-159.33871_22.05588,19.0
231,-159.33703_22.05725,13.720000267
232,-159.33925_22.05708,20.0
233,-159.34019_22.05863,21.0
234,-159.34410_22.05816,27.0
235,-159.34401_22.05846,27.0
236,-159.34498_22.05860,30.0
237,-159.34451_22.05947,28.0
238,-159.34200_22.05649,25.0
239,-159.34218_22.05805,24.0
240,-159.34179_22.05778,24.0
241,-159.34211_22.05439,24.0
242,-159.34261_22.05332,25.0
243,-159.34472_22.05401,26.0
244,-159.34554_22.05395,27.0
245,-159.34631_22.05431,27.0
246,-159.34559_22.05489,28.0
247,-159.37237_22.05323,90.0
248,-159.37658_22.05647,93.0
249,-159.37595_22.05653,92.0
250,-159.36311_22.04779,81.0
251,-159.36611_22.04912,87.0
252,-159.38219_22.05554,99.0
253,-159.38786_22.05697,128.0
254,-159.37812_22.06226,103.0
255,-159.36393_22.08856,111.0
256,-159.36191_22.06867,101.0
257,-159.37382_22.06840,98.0
258,-159.36248_22.07141,102.0
259,-159.36313_22.07064,103.0
260,-159.36211_22.06667,103.0
261,-159.37278_22.09805,124.0
262,-159.37169_22.09644,129.0
263,-159.31743_22.06838,2.61500000954
264,-159.31870_22.06885,2.52866315842
265,-159.31914_22.06883,2.21000003815
266,-159.32037_22.07372,2.09426546097
267,-159.32021_22.08645,17.0
268,-159.32028_22.08603,13.0
269,-159.32403_22.08845,41.0
270,-159.36064_22.09479,111.0
271,-159.33077_22.09798,74.0
272,-159.33934_22.09951,81.0
273,-159.32996_22.09665,70.0
274,-159.32820_22.09546,65.0
275,-159.33044_22.09558,68.0
276,-159.31760_22.08845,24.0
277,-159.31499_22.08728,39.2265892029
278,-159.31550_22.09116,43.0
279,-159.31540_22.08846,37.2906646729
280,-159.31931_22.08548,9.0
281,-159.31787_22.08639,37.0
282,-159.32072_22.08944,37.0
283,-159.33379_22.10044,62.0
284,-159.33618_22.10108,78.0
285,-159.33579_22.10099,79.0
286,-159.32215_22.09409,56.0
287,-159.32212_22.09229,50.0
288,-159.32226_22.09163,48.0
289,-159.32009_22.09172,39.0
290,-159.31976_22.09249,43.0
291,-159.31950_22.09297,49.0
292,-159.31944_22.09319,49.0
293,-159.33510_22.09714,72.0
294,-159.33200_22.09586,69.0
295,-159.33314_22.09444,62.0
296,-159.33351_22.09532,68.0
297,-159.33458_22.09644,70.0
298,-159.33320_22.09940,77.0
299,-159.33305_22.09878,77.0
300,-159.32700_22.09494,63.0
301,-159.32618_22.09388,59.0
302,-159.32634_22.09424,61.0
303,-159.32558_22.09240,55.0
304,-159.30698_22.10520,35.8723068237
305,-159.30537_22.10228,28.3600006104
306,-159.30841_22.14604,4.0
307,-159.30468_22.14584,4.43499994278
308,-159.30687_22.15147,2.0972878933000003
309,-159.30904_22.13688,61.0
310,-159.30390_22.13658,47.0
311,-159.30256_22.13767,42.0
312,-159.30237_22.13805,41.0
313,-159.30476_22.13791,41.0
314,-159.30315_22.14084,33.5365371704
315,-159.30141_22.14017,34.5950012207
316,-159.30121_22.14034,33.2350006104
317,-159.31679_22.15800,37.0
318,-159.34168_22.18827,28.0
319,-159.33321_22.19253,3.18000006676
320,-159.37847_22.19782,105.0
321,-159.35821_22.19956,79.0
322,-159.39419_22.21981,55.9700012207
323,-159.40835_22.20940,95.4375
324,-159.41017_22.20639,97.10481262210001
325,-159.40911_22.21017,93.15299987790002
326,-159.40489_22.21235,96.8249969482
327,-159.40516_22.21096,96.7407226563
328,-159.40911_22.20396,92.0316238403
329,-159.40404_22.21011,96.67874908450001
330,-159.40400_22.20969,96.2450027466
331,-159.40537_22.20894,97.09545898440001
332,-159.40469_22.20777,95.8949966431
