,Uid,dist2_coast_m
116,-159.52047_21.91920,3511.702702808681
117,-159.52030_21.91874,3459.4112209848845
118,-159.51776_21.91929,3487.2881259209557
119,-159.51954_21.91858,3429.3357580759607
120,-159.51164_21.93200,4860.674322416333
121,-159.51151_21.92590,4184.955133827558
122,-159.51273_21.93431,5115.55348098852
123,-159.51511_21.90538,1929.3545586894284
124,-159.51499_21.91045,2485.660679201981
125,-159.50299_21.89127,339.273183209537
126,-159.49600_21.91675,3242.9992969350556
127,-159.36710_21.94991,333.16879486157256
128,-159.36468_21.94992,242.96238392719414
129,-159.36119_22.06893,3511.141237636312
130,-159.35793_22.07420,3649.0777987943684
131,-159.37643_22.06850,4843.572956595736
132,-159.50424_22.20029,271.6715123973299
133,-159.52480_21.92646,4389.506829053055
134,-159.36098_22.09525,5076.496487233418
135,-159.40721_22.20951,1656.0983139372195
136,-159.40493_22.20951,1723.7360041892293
137,-159.59202_21.90737,384.2673275837948
138,-159.57640_21.91292,1711.6225690967099
139,-159.57636_21.91240,1654.2903314128525
140,-159.48383_21.92892,4796.616171560733
141,-159.48387_21.93322,5271.49195559557
142,-159.48746_21.92794,4667.831500443824
143,-159.46495_21.90098,2378.4909848545135
144,-159.46569_21.89698,1928.980423550998
145,-159.36893_22.05846,3716.4588915606605
146,-159.37505_22.06224,4448.084267307932
147,-159.37857_22.10330,7098.870830572209
148,-159.37211_22.10006,6342.186118603752
149,-159.35870_22.09503,4854.576998162488
150,-159.53453_21.92483,4148.118478304261
151,-159.53184_21.92483,4181.899065636354
152,-159.53294_21.92468,4150.249158811766
153,-159.53312_21.92452,4130.7817756001505
154,-159.53359_21.92372,4036.504822963269
155,-159.50135_21.91961,3481.350568317942
156,-159.37047_21.97158,2302.0026640510173
157,-159.33046_22.09841,2541.392803266426
158,-159.32899_22.09849,2395.05963036006
159,-159.33000_22.09719,2469.9753616055928
160,-159.32940_22.09696,2405.2019788053854
161,-159.49760_22.20521,183.85628617814214
162,-159.36957_21.96902,2018.1255128866803
163,-159.37298_21.96909,2240.0798623646992
164,-159.37423_21.96848,2279.4322152435857
165,-159.37394_22.07696,5097.9800088405955
166,-159.53528_21.92314,3948.707855628834
167,-159.53577_21.92187,3800.513198720813
168,-159.51631_21.92111,3673.6178607587617
169,-159.52282_21.92123,3779.1667934629663
170,-159.52370_21.92231,3915.403123346864
171,-159.52535_21.92233,3954.6332670470947
172,-159.51468_21.90881,2301.9157318171137
173,-159.52080_21.91824,3412.8947114681737
174,-159.52042_21.91991,3589.1099266529277
175,-159.51742_21.94186,5972.307588998469
176,-159.52450_21.93290,5079.250699107045
177,-159.52142_21.93109,4827.883263064815
178,-159.51795_21.93557,5284.0527460555795
179,-159.51922_21.93679,5430.872027100933
180,-159.51953_21.93076,4769.156899754769
181,-159.52418_21.93075,4838.942226831379
182,-159.52635_21.93485,5330.341227389242
183,-159.52963_21.92778,4521.409081331929
184,-159.52883_21.92869,4628.5104784049545
185,-159.52926_21.92623,4353.930914116039
186,-159.52319_21.92624,4329.686664860594
187,-159.52307_21.92603,4303.983595452025
188,-159.50036_21.92168,3716.7292117142406
189,-159.49476_21.92207,3845.385677863137
190,-159.49520_21.92704,4377.139693183795
191,-159.49985_21.92335,3905.5676838015834
192,-159.50734_21.92960,4596.8492308107725
193,-159.50673_21.92727,4334.615521747794
194,-159.50772_21.92676,4287.803625182436
195,-159.50636_21.92970,4600.153919909764
196,-159.49910_21.92012,3559.777982803477
197,-159.47076_21.87967,59.35885737977607
198,-159.49802_21.91770,3309.9139527101784
199,-159.50074_21.91520,2998.7860202458814
200,-159.46883_21.90542,2741.705860503097
201,-159.47923_21.90767,2586.8482931859803
202,-159.48030_21.91804,3659.8031460579714
203,-159.48569_21.92118,3927.368648959973
204,-159.48485_21.92063,3872.977606609767
205,-159.39778_21.96219,2703.0929575045666
206,-159.33523_22.05256,309.0175005633115
207,-159.33678_22.05396,525.3833678921762
208,-159.33479_22.05301,334.705253196874
209,-159.33038_22.09477,2353.3704835575045
210,-159.33033_22.09495,2360.667903986658
211,-159.32516_22.09537,1948.276595043144
212,-159.48302_21.93034,4961.047528296544
213,-159.46351_21.90626,2979.993945555644
214,-159.46051_21.90991,3444.0968729288775
215,-159.46010_21.90947,3409.022464465621
216,-159.46311_21.89798,2100.6081125345186
217,-159.46700_21.90195,2418.2717564988707
218,-159.45078_21.88083,870.5397639489103
219,-159.46052_21.90751,3188.0375791962597
220,-159.45967_21.90550,3002.305971811258
221,-159.45789_21.90466,2980.6144245135333
222,-159.45797_21.90250,2758.530732162426
223,-159.37173_21.96630,1926.223743304001
224,-159.37083_21.96743,1955.9848390480902
225,-159.36997_21.96570,1752.8885738681586
226,-159.33765_22.04776,285.55787161359405
227,-159.33595_22.05378,462.88488483676565
228,-159.33662_22.05546,659.1057797601944
229,-159.33779_22.05717,882.7774905568422
230,-159.33871_22.05588,815.3687006673508
231,-159.33703_22.05725,840.6482739013367
232,-159.33925_22.05708,954.8518744261693
233,-159.34019_22.05863,1150.6705893987632
234,-159.34410_22.05816,1387.3363202919227
235,-159.34401_22.05846,1401.3572047462558
236,-159.34498_22.05860,1488.0669203246682
237,-159.34451_22.05947,1515.1632008619245
