,Uid,UserDays
420,-159.48571_21.92316,17
421,-159.48700_21.92356,17
422,-159.45949_21.90853,84
423,-159.36748_22.05206,123
424,-159.37043_22.05523,68
425,-159.36979_22.05433,68
426,-159.50732_21.93429,2
427,-159.50574_21.94040,2
428,-159.50480_21.92821,39
429,-159.45109_21.87995,624
430,-159.32489_22.05806,120
431,-159.32532_22.05877,120
432,-159.52006_21.91960,0
433,-159.51934_21.91956,0
434,-159.51879_21.91864,0
435,-159.51540_21.93265,3
436,-159.51226_21.93732,0
437,-159.51249_21.90820,0
438,-159.52487_21.90813,0
439,-159.50534_22.20035,81
440,-159.52501_21.92633,0
441,-159.36023_22.10103,23
442,-159.36487_22.09652,90
443,-159.36248_22.09615,70
444,-159.35717_22.09665,70
445,-159.40753_22.20912,19
446,-159.40325_22.21157,2
447,-159.57732_21.91312,54
448,-159.57655_21.91440,54
449,-159.57610_21.91491,52
450,-159.57559_21.91308,54
451,-159.57469_21.91388,54
452,-159.57419_21.91434,54
453,-159.37029_21.97140,277
454,-159.37481_21.96887,277
455,-159.36989_21.97046,277
456,-159.37674_21.97925,277
457,-159.34032_22.10461,63
458,-159.49930_22.20367,96
459,-159.49905_22.20387,96
460,-159.37256_21.96830,59
461,-159.53555_21.92232,2
462,-159.53622_21.92272,1
463,-159.51228_21.91677,0
464,-159.51344_21.91629,0
465,-159.52600_21.92479,0
466,-159.53145_21.92218,2
467,-159.52440_21.92260,0
468,-159.52394_21.92463,0
469,-159.52692_21.92037,0
470,-159.52655_21.92046,0
471,-159.52837_21.92326,1
472,-159.51585_21.90435,0
473,-159.51599_21.90452,0
474,-159.51613_21.90468,0
475,-159.51844_21.90540,3
476,-159.52229_21.91534,0
477,-159.52283_21.91723,0
478,-159.51859_21.90787,3
479,-159.51760_21.91142,3
480,-159.51614_21.90998,3
481,-159.51816_21.91090,3
482,-159.51407_21.90828,0
483,-159.51485_21.90895,0
484,-159.52371_21.91964,0
485,-159.52361_21.91703,0
486,-159.51870_21.91808,0
487,-159.51457_21.93057,0
488,-159.52059_21.92858,0
489,-159.51860_21.93940,0
490,-159.51759_21.93683,2
491,-159.52036_21.93245,0
492,-159.52960_21.93044,2
493,-159.52840_21.92637,1
494,-159.52754_21.92643,1
495,-159.49828_21.92269,178
496,-159.50058_21.92164,96
497,-159.50156_21.92112,39
498,-159.49691_21.93165,63
499,-159.50698_21.92751,22
500,-159.50793_21.92703,2
501,-159.50556_21.91715,22
502,-159.50560_21.91679,2
503,-159.47000_21.87993,88
504,-159.46624_21.89732,88
