,Uid,PepPerHos
5407,-159.33949_22.05882,2.6
5408,-159.34048_22.05876,2.6
5409,-159.34427_22.05797,2.6
5410,-159.34497_22.05663,2.6
5411,-159.34570_22.05634,2.6
5412,-159.34522_22.05705,2.6
5413,-159.34403_22.05411,2.6
5414,-159.34532_22.05438,2.6
5415,-159.38568_22.05862,2.67
5416,-159.37182_22.05291,2.6
5417,-159.37787_22.05917,2.67
5418,-159.37695_22.05722,2.67
5419,-159.37744_22.05621,2.67
5420,-159.37656_22.05984,2.67
5421,-159.37640_22.06002,2.67
5422,-159.37616_22.06016,2.67
5423,-159.39083_22.05919,2.67
5424,-159.36272_22.04754,2.6
5425,-159.36316_22.04738,2.6
5426,-159.36761_22.04914,2.6
5427,-159.38459_22.05460,2.67
5428,-159.38428_22.05540,2.67
5429,-159.37453_22.05402,2.67
5430,-159.36907_22.05412,2.6
5431,-159.36856_22.05399,2.6
5432,-159.36590_22.05274,2.6
5433,-159.38795_22.05824,2.67
5434,-159.39330_22.06184,2.67
5435,-159.38179_22.05695,2.67
5436,-159.37855_22.06223,2.67
5437,-159.31821_22.06485,2.96
5438,-159.31908_22.06506,2.96
5439,-159.31978_22.06207,2.96
5440,-159.38029_22.06771,2.67
5441,-159.36658_22.06683,2.67
5442,-159.37208_22.06489,2.67
5443,-159.38172_22.07678,2.67
5444,-159.35889_22.08323,2.67
5445,-159.36009_22.06997,2.6
5446,-159.35984_22.06866,2.6
5447,-159.36142_22.07085,2.6
5448,-159.36217_22.07015,2.6
5449,-159.36174_22.07204,2.6
5450,-159.36256_22.06613,2.6
5451,-159.37248_22.09756,3.0
5452,-159.37115_22.09521,3.0
5453,-159.37287_22.09604,3.0
5454,-159.37285_22.09352,3.0
5455,-159.31829_22.06667,2.96
5456,-159.31871_22.06905,2.96
5457,-159.31746_22.08275,2.96
5458,-159.35239_22.09387,2.67
5459,-159.35116_22.09529,2.67
5460,-159.35828_22.09580,2.67
5461,-159.36372_22.09476,2.67
5462,-159.35712_22.10370,3.0
5463,-159.34558_22.09575,2.67
5464,-159.34600_22.09548,2.67
5465,-159.33254_22.08754,2.96
5466,-159.32524_22.09156,2.96
5467,-159.32462_22.08853,2.96
5468,-159.33624_22.09434,2.96
5469,-159.32971_22.09654,2.96
5470,-159.32959_22.09560,2.96
5471,-159.33070_22.09514,2.96
5472,-159.31096_22.09270,2.96
5473,-159.31634_22.08977,2.96
5474,-159.31508_22.08689,2.96
5475,-159.31807_22.08445,2.96
5476,-159.31938_22.08815,2.96
5477,-159.32024_22.08958,2.96
5478,-159.32216_22.08808,2.96
5479,-159.32318_22.09492,2.96
5480,-159.32455_22.09639,2.96
5481,-159.32591_22.09555,2.96
5482,-159.34394_22.10145,2.96
5483,-159.34285_22.10076,2.96
5484,-159.34182_22.10104,2.96
5485,-159.31720_22.09431,2.96
5486,-159.31987_22.09391,2.96
5487,-159.32033_22.09409,2.96
5488,-159.31505_22.08528,2.96
5489,-159.31577_22.08476,2.96
5490,-159.31584_22.08460,2.96
5491,-159.32595_22.08247,2.96
5492,-159.34546_22.10163,3.0
5493,-159.32749_22.08207,2.96
5494,-159.33006_22.08244,2.96
5495,-159.33750_22.10112,2.96
5496,-159.33469_22.10126,2.96
5497,-159.33530_22.10040,2.96
5498,-159.33536_22.10024,2.96
5499,-159.33697_22.10071,2.96
5500,-159.32131_22.09310,2.96
5501,-159.32229_22.09294,2.96
5502,-159.32048_22.09201,2.96
5503,-159.32003_22.09353,2.96
5504,-159.33395_22.09697,2.96
5505,-159.33182_22.09541,2.96
5506,-159.33305_22.09515,2.96
5507,-159.33295_22.09529,2.96
5508,-159.33316_22.09592,2.96
5509,-159.33273_22.10031,2.96
5510,-159.33312_22.09861,2.96
5511,-159.33245_22.09993,2.96
5512,-159.32746_22.09513,2.96
5513,-159.32544_22.09282,2.96
5514,-159.32587_22.09328,2.96
5515,-159.32775_22.09404,2.96
5516,-159.32710_22.09425,2.96
5517,-159.32755_22.09366,2.96
5518,-159.32911_22.09292,2.96
5519,-159.33313_22.10780,3.0
5520,-159.30658_22.10463,3.0
5521,-159.30645_22.10443,3.0
5522,-159.30289_22.10098,3.0
5523,-159.32019_22.15200,3.0
5524,-159.30137_22.14204,3.0
5525,-159.30594_22.13699,3.0
5526,-159.30076_22.13548,3.0
5527,-159.30098_22.13616,3.0
5528,-159.30209_22.13843,3.0
5529,-159.30280_22.14026,3.0
5530,-159.31388_22.15407,3.0
5531,-159.30182_22.14094,3.0
5532,-159.30076_22.14260,3.0
5533,-159.30677_22.15916,3.0
5534,-159.30824_22.16051,3.0
5535,-159.30976_22.16248,3.0
5536,-159.30692_22.15860,3.0
5537,-159.36232_22.20119,2.55
5538,-159.38419_22.21358,2.55
5539,-159.36191_22.19203,2.55
5540,-159.40967_22.18703,2.55
5541,-159.40314_22.22635,2.55
5542,-159.41429_22.22087,2.55
5543,-159.40955_22.20774,2.55
5544,-159.40871_22.21040,2.55
5545,-159.40891_22.21006,2.55
5546,-159.40930_22.21001,2.55
5547,-159.41001_22.20509,2.55
5548,-159.41066_22.20624,2.55
5549,-159.41920_22.21457,2.55
5550,-159.40451_22.20892,2.55
5551,-159.40333_22.20984,2.55
5552,-159.43128_22.19710,2.55
5553,-159.40672_22.20870,2.55
5554,-159.40789_22.20770,2.55
5555,-159.40574_22.20771,2.55
5556,-159.40813_22.20698,2.55
5557,-159.40475_22.20550,2.55
5558,-159.50817_22.20267,2.59
5559,-159.55807_22.22480,2.59
5560,-159.56309_22.22014,2.59
5561,-159.40749_22.21413,2.55
5562,-159.42756_22.21541,2.55
5563,-159.43349_22.21117,2.55
5564,-159.44457_22.22291,2.55
5565,-159.49406_22.21482,2.55
5566,-159.48541_22.21012,2.55
5567,-159.49760_22.20731,2.59
5568,-159.49626_22.20483,2.59
5569,-159.51689_22.20296,2.59
5570,-159.54077_22.21326,2.59
5571,-159.54840_22.21133,2.59
5572,-159.55172_22.22304,2.59
5573,-159.54457_22.21989,2.59
5574,-159.56450_22.22073,2.59
5575,-159.57799_22.21683,2.59
5576,-159.65621_21.96602,2.92
5577,-159.32105_22.08906,2.96
5578,-159.40848_22.20834,2.55
5579,-159.40840_22.20784,2.55
5580,-159.72354_21.97356,2.92
5581,-159.72450_21.97307,2.92
5582,-159.72361_21.97425,2.92
5583,-159.72327_21.97469,2.92
5584,-159.72096_21.97475,2.92
5585,-159.72102_21.97528,2.92
5586,-159.72214_21.97596,2.92
5587,-159.72320_21.97226,2.92
5588,-159.72156_21.97440,2.92
5589,-159.72297_21.97252,2.92
5590,-159.71959_21.96941,2.92
5591,-159.72305_21.97121,2.92
5592,-159.72117_21.97091,2.92
5593,-159.72141_21.97293,2.92
5594,-159.71808_21.97171,2.92
5595,-159.70844_21.96365,2.92
5596,-159.70061_21.96210,2.92
5597,-159.70539_21.96582,2.92
5598,-159.70196_21.96377,2.92
5599,-159.70974_21.96556,2.92
5600,-159.70815_21.96500,2.92
5601,-159.70820_21.96598,2.92
5602,-159.70694_21.96585,2.92
5603,-159.70733_21.96563,2.92
5604,-159.71035_21.96563,2.92
5605,-159.71401_21.97180,2.92
5606,-159.70451_21.96208,2.92
5607,-159.71198_21.96698,2.92
5608,-159.67874_22.10496,2.92
5609,-159.67970_22.10147,2.92
5610,-159.67392_22.10939,2.92
5611,-159.65351_22.12879,2.92
5612,-159.65120_22.12679,2.92
5613,-159.65700_21.97646,2.92
5614,-159.45926_21.90355,2.71
5615,-159.36129_21.96341,2.67
5616,-159.38260_22.05421,2.67
5617,-159.38330_22.05391,2.67
5618,-159.38421_22.05352,2.67
5619,-159.58737_21.92018,3.13
5620,-159.58635_21.92404,3.13
5621,-159.58866_21.92483,3.13
5622,-159.34092_22.05854,2.6
5623,-159.34452_22.06014,2.6
5624,-159.37389_22.05342,2.67
5625,-159.37480_22.05332,2.67
5626,-159.37492_22.05314,2.67
5627,-159.36812_22.07603,2.67
5628,-159.39045_22.06146,2.67
5629,-159.39110_22.06231,2.67
5630,-159.65746_21.96494,2.92
5631,-159.66666_21.95289,2.92
5632,-159.66800_21.95364,2.92
5633,-159.67008_21.95565,2.92
5634,-159.58914_21.92088,3.13
5635,-159.58838_21.92007,3.13
5636,-159.58551_21.92080,3.13
5637,-159.58580_21.91870,3.13
5638,-159.58625_21.92031,3.13
5639,-159.58648_21.92258,3.13
5640,-159.58732_21.92279,3.13
5641,-159.58625_21.92276,3.13
5642,-159.58676_21.92327,3.13
5643,-159.58764_21.92349,3.13
5644,-159.58547_21.92301,3.13
5645,-159.58600_21.92150,3.13
5646,-159.58774_21.92600,3.13
5647,-159.58692_21.92771,3.13
5648,-159.58725_21.92496,3.13
5649,-159.58763_21.92436,3.13
5650,-159.59686_21.90341,3.13
5651,-159.58297_21.91651,3.13
5652,-159.52502_21.90548,2.87
5653,-159.36976_22.05509,2.6
5654,-159.49259_21.92714,2.87
5655,-159.50955_21.93802,2.87
5656,-159.45043_21.88384,2.71
5657,-159.51825_21.92016,2.87
5658,-159.50975_21.92941,2.87
5659,-159.50252_21.91398,2.62
5660,-159.46555_21.89368,2.71
5661,-159.35443_21.95866,2.67
5662,-159.35420_21.96013,2.67
5663,-159.35751_22.07086,2.6
5664,-159.35815_22.06996,2.6
5665,-159.35685_22.07542,2.6
5666,-159.52154_21.92966,2.87
5667,-159.52435_21.92673,2.87
5668,-159.52523_21.92724,2.87
5669,-159.52660_21.92718,2.87
5670,-159.46838_21.88557,2.62
5671,-159.46605_21.89574,2.62
5672,-159.47280_21.88064,2.62
5673,-159.36777_22.09748,3.0
5674,-159.36305_22.10424,3.0
5675,-159.35570_22.10229,3.0
5676,-159.40711_22.20965,2.55
5677,-159.40486_22.21031,2.55
5678,-159.40375_22.21194,2.55
5679,-159.40460_22.21005,2.55
5680,-159.40414_22.20998,2.55
5681,-159.58710_21.91503,3.13
5682,-159.57673_21.91446,2.87
5683,-159.57361_21.91490,2.87
5684,-159.57679_21.91258,2.87
5685,-159.57450_21.91465,2.87
5686,-159.48377_21.93214,2.62
5687,-159.46503_21.89641,2.71
5688,-159.37320_22.06353,2.67
5689,-159.53535_21.92395,2.87
5690,-159.53270_21.92512,2.87
5691,-159.53493_21.92326,2.87
5692,-159.49701_21.92465,2.87
5693,-159.50033_21.91870,2.62
5694,-159.36967_21.97101,2.67
5695,-159.37445_21.96888,2.67
5696,-159.37082_21.97123,2.67
5697,-159.37717_21.97959,2.67
5698,-159.37842_21.97922,3.23
5699,-159.34225_22.10345,2.96
5700,-159.32981_22.09791,2.96
5701,-159.49790_22.20283,2.59
5702,-159.37123_21.96809,2.67
5703,-159.37244_21.97008,2.67
5704,-159.36491_22.07447,2.67
5705,-159.50817_21.91754,2.87
5706,-159.51242_21.92158,2.87
5707,-159.51503_21.92289,2.87
5708,-159.52750_21.92311,2.87
5709,-159.53277_21.91981,2.87
5710,-159.53376_21.91923,2.87
5711,-159.53741_21.90765,2.87
5712,-159.52358_21.92317,2.87
5713,-159.52638_21.92035,2.87
5714,-159.52715_21.92156,2.87
5715,-159.52981_21.92169,2.87
5716,-159.51728_21.90674,2.87
5717,-159.52020_21.91420,2.87
5718,-159.52250_21.91456,2.87
5719,-159.51809_21.90758,2.87
5720,-159.51842_21.90921,2.87
5721,-159.51834_21.91140,2.87
5722,-159.51611_21.91023,2.87
5723,-159.51798_21.90835,2.87
5724,-159.51665_21.90914,2.87
5725,-159.51687_21.90745,2.87
5726,-159.51668_21.90724,2.87
5727,-159.52466_21.91883,2.87
5728,-159.51715_21.91766,2.87
5729,-159.51818_21.91728,2.87
5730,-159.51381_21.92628,2.87
5731,-159.51652_21.92480,2.87
5732,-159.51396_21.93080,2.87
5733,-159.51981_21.94105,2.87
5734,-159.52403_21.93766,2.87
5735,-159.51886_21.92958,2.87
5736,-159.51870_21.93723,2.87
5737,-159.52929_21.92927,2.87
5738,-159.52932_21.92946,2.87
5739,-159.52365_21.92628,2.87
5740,-159.50751_21.91711,2.87
5741,-159.50572_21.92020,2.62
5742,-159.50864_21.92561,2.87
5743,-159.49999_21.92383,2.87
5744,-159.50726_21.92886,2.87
5745,-159.50726_21.92867,2.87
5746,-159.50666_21.92768,2.87
5747,-159.50805_21.91663,2.87
5748,-159.46773_21.89626,2.62
5749,-159.49736_21.91764,2.62
5750,-159.50039_21.91785,2.62
5751,-159.50172_21.91738,2.62
5752,-159.47940_21.88233,2.62
5753,-159.49907_21.91350,2.62
5754,-159.49866_21.91299,2.62
5755,-159.48168_21.91517,2.62
5756,-159.48056_21.91760,2.62
5757,-159.48606_21.91930,2.62
5758,-159.33358_22.05278,2.6
5759,-159.32995_22.09452,2.96
5760,-159.32360_22.09353,2.96
5761,-159.48371_21.93042,2.62
5762,-159.48444_21.93046,2.62
5763,-159.49124_21.92523,2.62
5764,-159.46093_21.90989,2.71
5765,-159.46448_21.91175,2.71
5766,-159.46095_21.90106,2.71
5767,-159.46395_21.91169,2.71
5768,-159.45211_21.87475,2.71
5769,-159.44692_21.87017,2.71
5770,-159.46181_21.90723,2.71
5771,-159.45980_21.90695,2.71
5772,-159.46167_21.90569,2.71
5773,-159.45805_21.90574,2.71
5774,-159.45727_21.90536,2.71
5775,-159.45839_21.90273,2.71
5776,-159.45926_21.90446,2.71
5777,-159.46152_21.88472,2.71
5778,-159.46138_21.88866,2.71
5779,-159.36426_21.95186,3.23
5780,-159.36488_21.96139,2.67
5781,-159.36023_21.96393,2.67
5782,-159.36111_21.96564,2.67
5783,-159.39404_21.96517,3.23
5784,-159.39229_21.96688,3.23
5785,-159.39196_21.96636,3.23
5786,-159.39328_21.96656,3.23
5787,-159.39316_21.96362,3.23
5788,-159.39967_21.96383,3.23
5789,-159.39789_21.96302,3.23
5790,-159.39826_21.96373,3.23
5791,-159.34789_21.95922,2.67
5792,-159.36635_21.96805,2.67
5793,-159.37443_21.97075,2.67
5794,-159.36776_21.97095,2.67
5795,-159.37105_21.96700,2.67
5796,-159.37131_21.96761,2.67
5797,-159.37354_21.96765,2.67
5798,-159.37237_21.96743,2.67
5799,-159.37107_21.96962,2.67
5800,-159.38475_21.97584,3.23
5801,-159.33824_22.04795,2.6
5802,-159.33647_22.05559,2.6
5803,-159.33564_22.05609,2.6
5804,-159.33524_22.05556,2.6
5805,-159.34106_22.05301,2.6
5806,-159.34152_22.05263,2.6
5807,-159.33826_22.05503,2.6
5808,-159.33868_22.05388,2.6
5809,-159.33846_22.05757,2.6
5810,-159.34465_22.05982,2.6
5811,-159.34520_22.05837,2.6
5812,-159.34233_22.05788,2.6
5813,-159.34191_22.05831,2.6
5814,-159.34265_22.05800,2.6
5815,-159.34535_22.05379,2.6
5816,-159.34537_22.05479,2.6
5817,-159.34516_22.05469,2.6
5818,-159.36390_22.06015,2.6
5819,-159.37805_22.05976,2.67
5820,-159.37595_22.05853,2.67
5821,-159.37551_22.05748,2.67
5822,-159.37766_22.06083,2.67
5823,-159.36429_22.04832,2.6
5824,-159.36104_22.04595,2.6
5825,-159.36553_22.04858,2.6
5826,-159.38095_22.08049,2.67
5827,-159.38149_22.07639,2.67
5828,-159.36312_22.08876,2.67
5829,-159.36017_22.06960,2.6
5830,-159.36237_22.06932,2.6
5831,-159.36089_22.07013,2.6
5832,-159.37452_22.06802,2.67
5833,-159.37600_22.06825,2.67
5834,-159.37170_22.07071,2.67
5835,-159.36781_22.07155,2.67
5836,-159.37561_22.09744,3.0
5837,-159.31819_22.06989,2.96
5838,-159.31908_22.06768,2.96
5839,-159.32140_22.07425,2.96
5840,-159.32162_22.07376,2.96
5841,-159.31890_22.07721,2.96
5842,-159.36050_22.09729,3.0
5843,-159.31646_22.08334,2.96
5844,-159.32303_22.08558,2.96
5845,-159.32081_22.08663,2.96
5846,-159.35429_22.09752,2.67
5847,-159.36034_22.10456,3.0
5848,-159.34973_22.09839,2.67
5849,-159.34365_22.09690,2.96
5850,-159.34166_22.08959,2.67
5851,-159.32637_22.08583,2.96
5852,-159.32747_22.08875,2.96
5853,-159.32381_22.08397,2.96
5854,-159.32929_22.09548,2.96
5855,-159.32915_22.09542,2.96
5856,-159.32852_22.09559,2.96
5857,-159.31652_22.08987,2.96
5858,-159.31676_22.08806,2.96
5859,-159.31922_22.08522,2.96
5860,-159.31879_22.08888,2.96
5861,-159.31975_22.08781,2.96
5862,-159.31969_22.08959,2.96
5863,-159.31312_22.09221,2.96
5864,-159.31327_22.09255,2.96
5865,-159.32339_22.09491,2.96
5866,-159.32424_22.08949,2.96
5867,-159.32722_22.09651,2.96
5868,-159.32520_22.09686,2.96
5869,-159.32506_22.09613,2.96
5870,-159.34322_22.10228,2.96
5871,-159.32013_22.09401,2.96
5872,-159.31451_22.08537,2.96
5873,-159.34096_22.10224,2.96
5874,-159.34022_22.10115,2.96
5875,-159.35214_22.09907,3.0
5876,-159.35918_22.09679,3.0
5877,-159.35836_22.09799,3.0
5878,-159.35644_22.09898,3.0
5879,-159.32757_22.08189,2.96
5880,-159.33824_22.10095,2.96
5881,-159.33687_22.10126,2.96
5882,-159.33512_22.10211,2.96
5883,-159.33626_22.09995,2.96
5884,-159.33769_22.10027,2.96
5885,-159.33589_22.10052,2.96
5886,-159.32278_22.09281,2.96
5887,-159.32189_22.09190,2.96
5888,-159.32216_22.09087,2.96
5889,-159.32124_22.09119,2.96
5890,-159.33380_22.09736,2.96
5891,-159.33251_22.09446,2.96
5892,-159.33321_22.09575,2.96
5893,-159.33535_22.09647,2.96
5894,-159.33598_22.09678,2.96
5895,-159.33290_22.09909,2.96
5896,-159.33231_22.10046,2.96
5897,-159.33369_22.09890,2.96
5898,-159.33384_22.09894,2.96
5899,-159.32665_22.09360,2.96
5900,-159.32668_22.09438,2.96
5901,-159.32793_22.09490,2.96
5902,-159.32641_22.09505,2.96
5903,-159.32740_22.09360,2.96
5904,-159.32515_22.09231,2.96
5905,-159.30517_22.10167,3.0
5906,-159.30643_22.10236,3.0
5907,-159.30351_22.10129,3.0
5908,-159.30417_22.14483,3.0
5909,-159.30771_22.13822,3.0
5910,-159.30411_22.13399,3.0
5911,-159.30152_22.13548,3.0
5912,-159.31312_22.15045,3.0
5913,-159.31279_22.15132,3.0
5914,-159.30032_22.14185,3.0
5915,-159.31731_22.15815,3.0
5916,-159.31061_22.16172,3.0
5917,-159.33420_22.18986,3.0
5918,-159.35441_22.20858,2.55
5919,-159.37460_22.19864,2.55
5920,-159.35999_22.19115,2.55
5921,-159.40793_22.20895,2.55
5922,-159.40888_22.20932,2.55
5923,-159.40920_22.20971,2.55
5924,-159.40461_22.21165,2.55
5925,-159.40424_22.21186,2.55
5926,-159.40638_22.21310,2.55
5927,-159.40935_22.20429,2.55
5928,-159.42418_22.21766,2.55
5929,-159.42091_22.21515,2.55
5930,-159.40623_22.20325,2.55
5931,-159.39825_22.20343,2.55
5932,-159.41578_22.19976,2.55
5933,-159.40421_22.20826,2.55
5934,-159.40185_22.20217,2.55
5935,-159.41983_22.21195,2.55
5936,-159.40822_22.20731,2.55
5937,-159.40715_22.20820,2.55
5938,-159.40758_22.20697,2.55
5939,-159.50375_22.20113,2.59
5940,-159.50404_22.20108,2.59
5941,-159.50620_22.20137,2.59
5942,-159.43478_22.18528,2.55
5943,-159.40695_22.21381,2.55
5944,-159.43466_22.21345,2.55
5945,-159.44413_22.22281,2.55
5946,-159.45283_22.22491,2.55
5947,-159.49607_22.20395,2.59
5948,-159.49546_22.20576,2.59
5949,-159.49447_22.20641,2.59
5950,-159.55531_22.20208,2.59
5951,-159.54101_22.21287,2.59
5952,-159.55158_22.22235,2.59
5953,-159.31848_22.08872,2.96
5954,-159.39699_21.94951,3.23
5955,-159.72356_21.97485,2.92
5956,-159.72370_21.97565,2.92
5957,-159.72216_21.97305,2.92
5958,-159.72558_21.97144,2.92
5959,-159.67176_21.96449,2.92
5960,-159.71902_21.97061,2.92
5961,-159.71832_21.97298,2.92
5962,-159.71945_21.97413,2.92
5963,-159.72142_21.97334,2.92
5964,-159.72036_21.97265,2.92
5965,-159.71967_21.97275,2.92
5966,-159.71885_21.97380,2.92
5967,-159.71898_21.97390,2.92
5968,-159.70884_21.96287,2.92
5969,-159.70340_21.96448,2.92
5970,-159.70569_21.96429,2.92
5971,-159.70451_21.96484,2.92
5972,-159.70914_21.96483,2.92
5973,-159.70904_21.96554,2.92
5974,-159.70663_21.96562,2.92
5975,-159.70293_21.96295,2.92
5976,-159.67626_22.10387,2.92
5977,-159.67979_22.10053,2.92
5978,-159.64484_22.13106,2.92
5979,-159.55371_21.94604,2.87
5980,-159.36294_21.96512,2.67
5981,-159.36115_21.96587,2.67
5982,-159.58084_21.91832,3.13
5983,-159.37155_22.05861,2.67
5984,-159.49909_22.20184,2.59
5985,-159.49552_22.20495,2.59
5986,-159.49581_22.20548,2.59
5987,-159.58719_21.92014,3.13
5988,-159.58903_21.92129,3.13
5989,-159.58860_21.92521,3.13
5990,-159.58868_21.92470,3.13
5991,-159.52133_21.92832,2.87
5992,-159.36658_22.08287,2.67
5993,-159.52089_21.92719,2.87
5994,-159.52098_21.92740,2.87
5995,-159.36927_21.97205,2.67
5996,-159.34478_22.06104,2.6
5997,-159.34567_22.06183,2.6
5998,-159.34377_22.05982,2.6
5999,-159.37402_22.05437,2.67
6000,-159.37747_22.05412,2.67
6001,-159.37646_22.05503,2.67
6002,-159.38963_22.06005,2.67
6003,-159.38866_22.05993,2.67
6004,-159.39159_22.06293,2.67
6005,-159.65824_21.96474,2.92
6006,-159.66776_21.95349,2.92
6007,-159.58738_21.91981,3.13
6008,-159.58679_21.91950,3.13
6009,-159.58615_21.92063,3.13
6010,-159.58764_21.92164,3.13
6011,-159.58782_21.92353,3.13
6012,-159.58737_21.92409,3.13
6013,-159.58696_21.92400,3.13
6014,-159.59739_21.90422,3.13
6015,-159.48579_21.92501,2.62
6016,-159.48553_21.92419,2.62
6017,-159.48698_21.92537,2.62
6018,-159.52304_21.90723,2.87
6019,-159.52131_21.93477,2.87
6020,-159.36702_22.05200,2.6
6021,-159.37134_22.05497,2.6
6022,-159.36952_22.05476,2.6
6023,-159.51011_21.93864,2.87
6024,-159.45179_21.87794,2.71
6025,-159.45173_21.88131,2.71
6026,-159.45173_21.88149,2.71
6027,-159.51924_21.91886,2.87
6028,-159.51968_21.91844,2.87
6029,-159.52151_21.91801,2.87
6030,-159.51936_21.91809,2.87
6031,-159.51412_21.93359,2.87
6032,-159.50212_21.91705,2.62
6033,-159.50722_21.90261,2.87
6034,-159.36434_21.95017,3.23
6035,-159.36394_21.95065,3.23
6036,-159.36478_21.94804,3.23
6037,-159.35546_21.95995,2.67
6038,-159.35861_21.96183,2.67
6039,-159.35730_22.07017,2.6
6040,-159.35854_22.07433,2.6
6041,-159.50082_22.19245,2.59
6042,-159.52529_21.92666,2.87
6043,-159.52561_21.92648,2.87
6044,-159.47236_21.87989,0.0
6045,-159.35965_22.09562,2.67
6046,-159.40282_22.21134,2.55
6047,-159.58974_21.91170,3.13
6048,-159.57751_21.91406,2.87
6049,-159.57498_21.91548,2.87
6050,-159.57718_21.91224,2.87
6051,-159.57585_21.91285,2.87
6052,-159.57562_21.91390,2.87
6053,-159.48488_21.92302,2.62
6054,-159.48406_21.92376,2.62
6055,-159.48378_21.92973,2.62
6056,-159.46583_21.89992,2.71
6057,-159.46599_21.90025,2.71
6058,-159.37567_22.06336,2.67
6059,-159.35931_22.09503,2.67
6060,-159.50220_22.20179,2.59
6061,-159.54779_21.92124,2.87
6062,-159.53435_21.92485,2.87
6063,-159.53338_21.92456,2.87
6064,-159.53527_21.92346,2.87
6065,-159.37116_21.97060,2.67
6066,-159.33879_22.10073,2.96
6067,-159.33041_22.09754,2.96
6068,-159.32829_22.09653,2.96
6069,-159.49798_22.20651,2.59
6070,-159.36974_21.96894,2.67
6071,-159.37264_21.96985,2.67
6072,-159.35325_22.08531,2.67
6073,-159.35506_22.07903,2.67
6074,-159.53591_21.92163,2.87
6075,-159.51373_21.92250,2.87
6076,-159.51381_21.92292,2.87
6077,-159.52327_21.92122,2.87
6078,-159.52780_21.92437,2.87
6079,-159.52586_21.92439,2.87
6080,-159.53044_21.92197,2.87
6081,-159.52717_21.92099,2.87
6082,-159.52902_21.92369,2.87
6083,-159.51920_21.90628,2.87
6084,-159.51766_21.90632,2.87
6085,-159.51560_21.90767,2.87
6086,-159.52270_21.91601,2.87
6087,-159.52326_21.91689,2.87
6088,-159.51835_21.90689,2.87
6089,-159.51769_21.90561,2.87
6090,-159.51749_21.90536,2.87
6091,-159.51854_21.91007,2.87
6092,-159.51668_21.91103,2.87
6093,-159.51587_21.91126,2.87
6094,-159.52010_21.91233,2.87
6095,-159.51909_21.91209,2.87
6096,-159.51898_21.91006,2.87
6097,-159.51744_21.90824,2.87
6098,-159.52374_21.91889,2.87
6099,-159.52036_21.92728,2.87
6100,-159.51795_21.93854,2.87
6101,-159.52019_21.93764,2.87
6102,-159.51925_21.93231,2.87
6103,-159.52033_21.93542,2.87
6104,-159.52209_21.93287,2.87
6105,-159.51708_21.93534,2.87
6106,-159.51859_21.93100,2.87
6107,-159.52061_21.93308,2.87
6108,-159.52564_21.93052,2.87
6109,-159.52678_21.93488,2.87
6110,-159.53019_21.92723,2.87
6111,-159.52983_21.92612,2.87
6112,-159.52879_21.92714,2.87
6113,-159.50307_21.92124,2.62
6114,-159.50981_21.92538,2.87
6115,-159.49568_21.91819,2.62
6116,-159.49508_21.91783,2.62
6117,-159.49953_21.92335,2.87
6118,-159.50758_21.92877,2.87
6119,-159.50731_21.92673,2.87
6120,-159.50628_21.93014,2.87
6121,-159.50652_21.93059,2.87
6122,-159.50221_21.91900,2.62
6123,-159.49939_21.91788,2.62
6124,-159.50084_21.91470,2.62
6125,-159.50089_21.91430,2.62
6126,-159.48219_21.91636,2.62
6127,-159.48100_21.91598,2.62
6128,-159.48058_21.91588,2.62
6129,-159.47414_21.91500,2.62
6130,-159.48560_21.91917,2.62
6131,-159.48677_21.92257,2.62
6132,-159.45779_21.89292,2.71
6133,-159.39699_21.96215,3.23
6134,-159.39703_21.96239,3.23
6135,-159.40007_21.96292,3.23
6136,-159.32757_22.09626,2.96
6137,-159.32409_22.09762,2.96
6138,-159.48310_21.93001,2.62
6139,-159.48269_21.93097,2.62
6140,-159.46175_21.90300,2.71
6141,-159.46007_21.90919,2.71
6142,-159.46137_21.90167,2.71
6143,-159.45973_21.89727,2.71
6144,-159.46787_21.90529,2.62
6145,-159.45102_21.88378,2.71
6146,-159.45994_21.90552,2.71
6147,-159.45872_21.90483,2.71
6148,-159.45805_21.90229,2.71
6149,-159.45825_21.90310,2.71
6150,-159.46004_21.88684,2.71
6151,-159.46170_21.88489,2.71
6152,-159.46271_21.88750,2.71
6153,-159.46129_21.88955,2.71
6154,-159.46128_21.88616,2.71
6155,-159.46130_21.88841,2.71
6156,-159.36408_21.96094,2.67
6157,-159.35875_21.96602,2.67
6158,-159.39206_21.96654,3.23
6159,-159.39321_21.96562,3.23
6160,-159.39296_21.96333,3.23
6161,-159.39160_21.96586,3.23
6162,-159.37482_22.06927,2.67
6163,-159.37433_22.09973,3.0
6164,-159.31971_22.06849,2.96
6165,-159.31927_22.07144,2.96
6166,-159.32082_22.07520,2.96
6167,-159.31718_22.07598,2.96
6168,-159.31796_22.07694,2.96
6169,-159.31518_22.08256,2.96
6170,-159.31544_22.08311,2.96
6171,-159.31505_22.08308,2.96
6172,-159.31462_22.08262,2.96
6173,-159.32243_22.08571,2.96
6174,-159.32051_22.08688,2.96
6175,-159.31716_22.08833,2.96
6176,-159.31446_22.08723,2.96
6177,-159.31740_22.08806,2.96
6178,-159.31867_22.08682,2.96
6179,-159.31840_22.08698,2.96
6180,-159.31720_22.08645,2.96
6181,-159.31926_22.08869,2.96
6182,-159.32252_22.08834,2.96
6183,-159.32047_22.08870,2.96
