,FID,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_calc
43,9,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.34558731,20.8866988323,Maui, ,0.0,0.0, , , ,17.0
44,10,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345352339,20.8867910364,Maui, ,0.0,0.0, , , ,17.0
45,11,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345408851,20.8869486757,Maui, ,0.0,0.0, , , ,17.0
46,12,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345310698,20.8869278554,Maui, ,0.0,0.0, , , ,17.0
47,13,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345200648,20.8869040608,Maui, ,0.0,0.0, , , ,17.0
48,14,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345269057,20.8870617001,Maui, ,0.0,0.0, , , ,17.0
49,15,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.345402902,20.8872639543,Maui, ,0.0,0.0, , , ,17.0
50,16,225004007,17.0,15.0,2.0,0.0,0.0,14400.0,0.278932,0.179543,Dwelling Database,1.0,72.0,2.0,-156.34565572,20.8873264151,Maui, ,0.0,0.0, , , ,17.0
51,0,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.534276948,20.9537368108,Maui, ,0.0,0.0, , , ,12.0
52,1,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.535035948,20.9535759694,Maui, ,0.0,0.0, , , ,12.0
53,2,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.534549335,20.9535678592,Maui, ,0.0,0.0, , , ,12.0
54,3,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.534589886,20.9539733696,Maui, ,0.0,0.0, , , ,12.0
55,4,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.535409017,20.9549384844,Maui, ,0.0,0.0, , , ,12.0
56,5,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.534103274,20.9548006109,Maui, ,0.0,0.0, , , ,12.0
57,6,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.53278942,20.9558306073,Maui, ,0.0,0.0, , , ,12.0
58,7,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.533235481,20.955465648,Maui, ,0.0,0.0, , , ,12.0
59,8,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.534695319,20.9551412396,Maui, ,0.0,0.0, , , ,12.0
60,9,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.533600441,20.9550682477,Maui, ,0.0,0.0, , , ,12.0
61,10,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.533811306,20.9538517165,Maui, ,0.0,0.0, , , ,12.0
62,11,231001028,12.0,4.0,8.0,0.0,0.0,7400.0,0.663889,0.255866,Dwelling Database,1.0,37.0,1.0,-156.535368466,20.9548330517,Maui, ,0.0,0.0, , , ,12.0
