,BlockBk_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
3954,17217,84.3407102052959,60,0.0,Medium,2.0
3955,17218,82.95199616763598,24,0.0,Medium,2.0
3962,17235,68.59967443363941,47,1.0,Low,3.0
3963,17237,107.42197105280394,29,0.0,High,1.0
3964,17242,84.8888654151596,50,0.0,Medium,2.0
3971,17266,56.900054903194224,56,1.0,Low,3.0
3977,17318,80.20385472755768,14,1.0,Medium,2.0
3979,17320,124.97702351724942,19,0.0,High,1.0
3980,17322,138.55706453092904,11,1.0,High,1.0
3984,17340,128.41222790574088,15,0.0,High,1.0
3985,17342,47.94985013699252,12,1.0,Low,3.0
3988,17348,97.97411532732204,347,0.01440922190201729,High,1.0
3989,17349,91.24515618294171,52,1.0,Medium,2.0
3992,17368,88.90782064140438,42,0.0,Medium,2.0
3995,17405,75.23405307779393,18,1.0,Medium,2.0
3997,17407,147.63262217671033,52,0.019230769230769232,High,1.0
3999,17415,63.21359156690731,14,0.0,Low,3.0
4000,17416,52.02996276478984,29,1.0,Low,3.0
4001,17421,59.73445376617873,17,1.0,Low,3.0
4003,17433,136.25858760978812,20,0.0,High,1.0
4004,17434,136.447205197258,12,0.0,High,1.0
4007,17451,87.2635838976787,12,0.0,Medium,2.0
4008,17452,79.29931185795415,34,0.0,Medium,2.0
4014,17469,79.07880693322274,18,1.0,Medium,2.0
4017,17476,121.73639104936058,12,1.0,High,1.0
4020,17483,59.59807854337977,80,1.0,Low,3.0
4022,17492,141.77090581057575,18,0.0,High,1.0
4023,17498,92.38122688491875,25,1.0,Medium,2.0
4030,17517,71.0688255452799,13,1.0,Low,3.0
4034,17525,84.40394188076519,21,0.0,Medium,2.0
4036,17528,102.43191628651935,19,0.0,High,1.0
4037,17529,92.4849859601413,38,0.0,Medium,2.0
4038,17531,99.72813050412677,23,0.0,High,1.0
4040,17546,115.08819507144926,58,1.0,High,1.0
4041,17548,113.55312712870337,20,1.0,High,1.0
4045,17565,117.41701405404534,15,1.0,High,1.0
4048,17571,52.699762450404975,45,1.0,Low,3.0
4053,17581,44.40547240614423,18,1.0,Low,3.0
4055,17583,53.47196770930409,36,1.0,Low,3.0
4057,17606,82.86648628700307,13,0.0,Medium,2.0
4058,17612,92.09750894078077,28,1.0,Medium,2.0
4059,17613,119.08739855639229,14,1.0,High,1.0
4060,17615,52.05287749025136,13,1.0,Low,3.0
4062,17620,125.71003649311429,114,1.0,High,1.0
4064,17623,106.35939658036008,37,1.0,High,1.0
4066,17626,138.08609741023446,23,0.0,High,1.0
4067,17627,135.52549662656003,20,0.0,High,1.0
4068,17628,136.7946021680687,12,0.0,High,1.0
4069,17629,134.2698967075056,16,0.0,High,1.0
4070,17649,110.21940614429954,31,0.0,High,1.0
4072,17664,91.75788941267993,25,1.0,Medium,2.0
4073,17669,70.72174462076788,33,1.0,Low,3.0
4080,17683,83.60597302503723,69,0.0,Medium,2.0
4083,17695,64.29016907664383,32,0.0,Low,3.0
4085,17698,67.37353018103501,16,0.0,Low,3.0
4086,17699,71.7174188065446,61,0.0,Low,3.0
4087,17700,137.7999842885432,30,0.0,High,1.0
4089,17704,64.9892975267026,17,0.0,Low,3.0
4091,17720,73.70678418265713,16,0.0,Medium,2.0
4092,17724,74.29309001868579,28,0.0,Medium,2.0
4095,17731,79.1040623613234,53,1.0,Medium,2.0
4096,17733,120.20877631886401,33,1.0,High,1.0
4097,17734,115.8726502323764,21,1.0,High,1.0
4098,17736,87.18176513431546,47,0.0,Medium,2.0
4100,17744,79.81017345099383,14,0.0,Medium,2.0
4104,17762,81.84207354652779,34,1.0,Medium,2.0
4106,17767,116.77346169054739,50,1.0,High,1.0
4107,17768,122.17196481974429,24,1.0,High,1.0
4108,17772,91.35094563798009,27,1.0,Medium,2.0
4113,17785,84.98534228032827,15,1.0,Medium,2.0
4114,17786,72.37728919524137,19,0.0,Low,3.0
4118,17809,137.40655610658402,71,0.0,High,1.0
4121,17812,118.92285507304513,13,0.38461538461538464,High,1.0
4122,17813,154.28687994737385,102,1.0,High,1.0
4123,17819,57.90065565944318,14,0.0,Low,3.0
4126,17846,70.69834866518146,19,0.0,Low,3.0
4127,17853,140.0758263765208,11,0.0,High,1.0
4132,17865,80.14452892530662,16,0.0,Medium,2.0
4134,17870,148.22701875821343,18,1.0,High,1.0
4135,17873,67.43652876695751,21,0.0,Low,3.0
4138,17876,68.30626890286395,17,0.0,Low,3.0
4142,17905,77.55541685019189,48,1.0,Medium,2.0
4143,17906,84.29287093244517,20,0.0,Medium,2.0
4147,17914,114.57427984198203,13,1.0,High,1.0
4148,17915,78.89856472819724,11,1.0,Medium,2.0
4150,17917,83.59155721833584,21,1.0,Medium,2.0
4151,17918,62.634698884160294,31,1.0,Low,3.0
4153,17926,64.59138955475552,78,1.0,Low,3.0
4154,17932,56.168293355760255,51,1.0,Low,3.0
4156,17938,97.64916939321238,15,1.0,High,1.0
4160,17949,83.97862819861388,22,0.0,Medium,2.0
4161,17954,89.1314004238039,20,0.0,Medium,2.0
4162,17957,155.6617191669679,22,1.0,High,1.0
4168,17976,148.64096533027325,11,0.0,High,1.0
4169,17977,130.25123102383557,13,1.0,High,1.0
4170,17999,138.7295753214783,24,0.0,High,1.0
4171,18000,136.46174692862888,28,0.0,High,1.0
4173,18024,71.16423889550626,20,0.0,Low,3.0
4176,18031,50.90348782917112,19,0.0,Low,3.0
4177,18034,98.78604261970366,182,0.0,High,1.0
4179,18038,83.61804786952236,93,1.0,Medium,2.0
4180,18057,120.57909965139505,52,0.0,High,1.0
4181,18058,90.74158151040926,13,1.0,Medium,2.0
4183,18073,97.39341524941082,45,1.0,High,1.0
4186,18083,66.33875078454429,19,1.0,Low,3.0
4187,18087,52.54010442492757,27,1.0,Low,3.0
4189,18091,58.05390485152153,24,1.0,Low,3.0
4196,18111,73.29126861840739,12,0.0,Medium,2.0
4199,18130,86.33748104002392,13,0.0,Medium,2.0
4200,18131,79.72091036543216,36,0.0,Medium,2.0
4202,18133,95.3268848668587,92,0.0,High,1.0
4204,18137,83.40464298290918,11,1.0,Medium,2.0
4205,18143,85.39497251907119,13,0.0,Medium,2.0
4206,18147,81.70393454848032,16,0.0,Medium,2.0
4208,18150,118.93534771642786,13,0.0,High,1.0
4209,18152,144.74783015730327,11,0.0,High,1.0
4210,18155,139.3840605547902,21,0.0,High,1.0
4211,18158,141.02189774195517,18,0.0,High,1.0
4212,18159,138.54383216288707,47,0.0,High,1.0
